1,7,14,30,183,365,1825,9125
0.947100779,0.987645581,0.920984219,1,0.886803939,0.797385116,0.415253316,0.096125023
1,0.853211546,0.946293189,0.950145973,0.628691196,0.32037584,0.138911542,0
0.913554288,0.869629788,0.969609749,0.829152087,0.560944233,0.41446133,0.118996453,0.072569452
0.97472152,0.994357415,0.846843339,1,0.896211317,0.729206704,0.505819014,0.321371158
0.944063895,0.985681425,0.985567399,0.941014847,0.875951046,0.810442458,0.38441377,0
0.958289053,0.963193249,1,1,0.913038179,0.92083469,0.587370702,0.169536977
0.982498688,1,1,0.833578714,0.991339287,1,0.686922904,0.368998698
0.983141799,1,1,1,0.870379345,0.636405878,0.426180039,0.079976773
0.963616906,0.945869586,0.949540624,0.862090148,0.811778837,0.474030125,0.292035799,0.025917318
1,0.742579064,0.756948282,0.351183175,0.051457426,0.025682342,0.013891655,0.009942723
1,0.946512755,0.885696677,0.929369536,0.50221974,0.514133992,0.022582307,0.059701536
1,1,0.872602058,0.687601346,0.291695778,0.194899501,0.062440185,0
1,1,0.990297808,0.980192405,0.98259611,0.850446203,0.685603763,0.242095981
1,0.989167157,0.863835251,0.780281665,0.404069788,0.237882563,0.065154461,0.103624683
1,0.930094234,0.941857929,1,0.990682558,0.85878058,0.455626768,0.10738506
1,0.956795882,1,1,0.76355874,0.752803098,0.312085273,0.0460608
0.866786228,1,0.867646745,0.829415641,0.247468951,0.127481618,0.053847417,0.12524205
0.93305087,1,0.925957681,0.968396491,0.690976881,0.622267473,0.226600721,0.025680815
0.942704499,0.94455278,0.965122569,0.987918517,0.702206658,0.600931334,0.371532253,0
0.941028739,0.867740996,0.917565322,0.911206031,0.602892094,0.430632819,0.164052932,0
1,1,0.863186829,0.857664749,0.379759078,0.298762903,0.110387727,0
0.936467211,1,1,0.894155357,0.705518693,0.681237968,0.214094954,0.079744818
0.971422932,0.946622712,0.922304012,0.970480325,0.441215777,0.379554441,0.127694171,0.004175083
0.925690958,0.996368774,0.905437184,0.955139264,0.903212531,0.986855011,0.692322988,0.232243568
0.931450359,1,0.964931431,1,0.904572417,1,0.96767135,0.611656377
1,0.934461353,0.788175614,0.704146172,0.315927092,0.432910227,0.209553053,0.04503562
1,1,0.929885181,0.852055812,0.532631744,0.412712521,0.172090776,0.054090489
1,1,0.965594667,0.971002819,0.869142764,0.603642875,0.239806185,0.095226165
0.995014344,0.769493659,0.530136845,0.442584486,0.20123823,0.094930096,0,0.009178171
1,0.930869327,1,0.90964845,0.448861999,0.373635032,0.210795636,0
1,0.978761464,1,1,0.929779668,0.863736875,0.709828161,0.309154663
0.960819804,0.787895772,0.634927486,0.415158484,0.179312345,0.077391282,0.034666786,0.17193743
1,0.976176427,0.933247418,0.804759452,0.531044869,0.379030974,0.06038812,0
1,0.994651682,0.788195407,0.820972326,0.485986547,0.302308733,0.123918898,0.011819511
1,0.986257363,0.933009478,0.832503012,0.39715392,0.300958099,0.108748971,0.060641488
0.988164089,1,0.961079641,0.982970679,0.490098991,0.484966465,0.063774188,0.084663594
0.937444041,0.884226698,0.861343625,0.800372894,0.277365419,0.189847514,0.107103739,0
0.868204856,1,0.877510999,0.95514188,0.923326804,0.945827051,0.646869825,0.177223165
1,1,1,1,0.942252843,0.754444061,0.68908047,0.329391559
0.989567336,1,1,0.86280006,0.972526872,0.93641617,0.428786408,0.12946254
0.899830698,0.970684731,0.910883976,0.894267841,0.626756897,0.402096949,0.157152421,0
1,1,0.889473099,0.797463064,0.650655634,0.385067703,0.114349853,0
1,0.941366231,0.934810732,0.945259449,1,1,0.862484606,0.566461952
1,0.91770419,0.925374605,1,0.707826718,0.547318628,0.104255348,0.042919757
0.947424537,0.895766101,1,0.916089305,0.804571319,0.552285253,0.27035766,0.151109049
1,1,1,1,0.849196206,0.954843596,0.715657594,0.248368566
0.971817013,0.991851183,0.858491007,0.645021116,0.094249707,0,0.038292176,0.021681702
0.984458976,0.836929387,0.813758191,0.891756991,0.556958487,0.425017554,0.224066945,0
1,1,1,0.965542211,0.745370533,0.474345478,0.209116105,0.014639405
1,1,0.955610188,0.959709476,0.983293496,1,0.646954495,0.26714429
0.954099195,1,1,0.882160689,0.922671735,1,0.740279223,0.246572765
